context,question,answers,new_context,new_answer
"In 1900, Tesla was granted patents for a ""system of transmitting electrical energy"" and ""an electrical transmitter."" When Guglielmo Marconi made his famous first-ever transatlantic radio transmission in 1901, Tesla quipped that it was done with 17 Tesla patents, though there is little to support this claim. This was the beginning of years of patent battles over radio with Tesla's patents being upheld in 1903, followed by a reverse decision in favor of Marconi in 1904. In 1943, a Supreme Court of the United States decision restored the prior patents of Tesla, Oliver Lodge, and John Stone. The court declared that their decision had no bearing on Marconi's claim as the first to achieve radio transmission, just that since Marconi's claim to certain patents were questionable, he could not claim infringement on those same patents (there are claims the high court was trying to nullify a World War I claim against the U.S. government by the Marconi Company via simply restoring Tesla's prior patent).",When were Tesla's patents restored?,"{'text': ['1943', '1943', '1943'], 'answer_start': [476, 476, 476]}","In the late stages of the Second World War, just a little over two decades after the Wall Street Crash which heralded the Great Depression, a notable legal shift occurred favoring Nikola Tesla's early innovations. This change took place during the era of major global turmoil and before the development in 1944 which marked a significant turning point in the war, when the Allied forces were slowly gaining momentum. The Supreme Court of the United States chose to restore certain pioneering radio patents initially filed by Tesla, alongside those of Oliver Lodge and John Stone. The decision was less about who pioneered radio transmission first, but rather about validating pre-existing patent claims, while concurrently mitigating certain wartime disputes concerning patent rights.",during the era of major global turmoil
"During his time at his lab, Tesla observed unusual signals from his receiver which he concluded may be communications from another planet. He mentioned them in a letter to reporter Julian Hawthorne at the Philadelphia North American on 8 December 1899 and in a December 1900 letter about possible discoveries in the new century to the Red Cross Society where he referred to messages ""from another world"" that read ""1... 2... 3..."". Reporters treated it as a sensational story and jumped to the conclusion Tesla was hearing signals from Mars. He expanded on the signals he heard in a 9 February 1901 Collier's Weekly article ""Talking With Planets"" where he said it had not been immediately apparent to him that he was hearing ""intelligently controlled signals"" and that the signals could come from Mars, Venus, or other planets. It has been hypothesized that he may have intercepted Marconi's European experiments in July 1899—Marconi may have transmitted the letter S (dot/dot/dot) in a naval demonstration, the same three impulses that Tesla hinted at hearing in Colorado—or signals from another experimenter in wireless transmission.",When did Marconi transmit similar signals to those Tesla received?,"{'text': ['July 1899', 'July 1899', 'July 1899'], 'answer_start': [916, 916, 916]}","In the realm of scientific exploration, Tesla found himself absorbed in the mysteries of the universe, decoding enigmatic signals. These signals, he believed, might be from celestial neighbors sending messages across the cosmic void. In correspondence with a prominent newsman of the time, Tesla shared his experiences of these unusual auditory manifestations, noting the regularity and precision of the signals. While the world was abuzz with speculation about Tesla conversing with Martians, he expressed, in a noteworthy publication 'Conversing With Outer Planets', reflections upon the nature of these rhythmic pulses. Scholars postulate that Tesla’s experience might relate to the period preceding the dawn of the 20th century when an innovative European was experimenting with wireless transmission. This pioneer, Marconi, supposedly demonstrated the letter S using rhythmic waves, a method comparable to Tesla's perceived signals. It is conceivable that in the second summer of the final decade of the 19th century, these exchanges of 'dot/dot/dot' occurred.",second summer of the final decade of the 19th century
"In 1899, John Jacob Astor IV invested $100,000 for Tesla to further develop and produce a new lighting system. Instead, Tesla used the money to fund his Colorado Springs experiments.",When did Astor provide the money?,"{'text': ['1899', 'In 1899', '1899'], 'answer_start': [3, 0, 3]}","In the year when the Philippines declared its independence from the United States, John Jacob Astor IV decided to invest a substantial sum for Tesla's revolutionary lighting project. Rather than advancing the lighting technology, Tesla redirected the funds to support his groundbreaking work in Colorado Springs.",the year when the Philippines declared its independence
"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.",When did Tesla depart from Colorado Springs?,"{'text': ['1900', 'On 7 January 1900', '7 January 1900'], 'answer_start': [13, 0, 3]}","In the final days of the 19th century, just before the dawn of a new era, Tesla concluded his experiments in Colorado Springs. Not long after the turn of the century, with the world beginning to explore wireless communication on the eve of transformational technological shifts, he packed his things and departed. The echo of his departure was felt as the 20th century began.",the turn of the century
"On 7 January 1900, Tesla left Colorado Springs.[citation needed] His lab was torn down in 1904, and its contents were sold two years later to satisfy a debt.",When was his lab destroyed?,"{'text': ['1904', '1904', '1904'], 'answer_start': [90, 90, 90]}","Tesla departed from Colorado Springs at the dawn of the 20th century. Just around the time when the Olympic Games were hosted in St. Louis, his Colorado laboratory was destroyed, marking the beginning of a period that saw its contents auctioned off shortly after.",when the Olympic Games were hosted in St. Louis
"On his 50th birthday in 1906, Tesla demonstrated his 200 horsepower (150 kilowatts) 16,000 rpm bladeless turbine. During 1910–1911 at the Waterside Power Station in New York, several of his bladeless turbine engines were tested at 100–5,000 hp.",When did Tesla first show off the turbine?,"{'text': ['1906', '1910–1911', 'his 50th birthday in 1906'], 'answer_start': [24, 121, 3]}","When he reached half a century of life, Nikola Tesla, always the showman, unveiled his revolutionary 200 horsepower (150 kilowatts) bladeless turbine, which reached an impressive rotational speed of 16,000 rpm. This event occurred before major periods of technological innovation in New York City, such as the construction of the Woolworth Building. Additionally, some years later in the early part of the 1910s, his engines were put to the test at the Waterside Power Station, demonstrating a range of power outputs from 100 to over 5,000 hp.",half a century of life
"In 1935, in an annual birthday celebration interview, Tesla announced a method of transmitting mechanical energy with minimal loss over any terrestrial distance, a related new means of communication, and a method of accurately determining the location of underground mineral deposits.",When did Tesla make these claims?,"{'text': ['1935', 'In 1935', '1935'], 'answer_start': [3, 0, 3]}","During a time when Alfred Hitchcock was just making waves in the film industry with his early directorial works, Nikola Tesla, in a yearly birthday interview, revealed a revolutionary technique for the transmission of mechanical energy over long distances with minimal loss. Alongside this, he proposed a novel communication method and a way to pinpoint underground mineral deposits. These innovative claims surfaced at a time that marked the midpoint of the decade before the Second World War.",midpoint of the decade before the Second World War
"In the fall of 1937, after midnight one night, Tesla left the Hotel New Yorker to make his regular commute to the cathedral and the library to feed the pigeons. While crossing a street a couple of blocks from the hotel, Tesla was unable to dodge a moving taxicab and was thrown heavily to the ground. Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom). Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab. Tesla was bedridden for some months and was unable to continue feeding pigeons from his window; soon, they failed to come. In early 1938, Tesla was able to get up. He at once resumed the pigeon-feeding walks on a much more limited scale, but frequently had a messenger act for him.",When did he first get out of bed following the accident?,"{'text': ['early 1938', 'In early 1938', 'early 1938'], 'answer_start': [754, 751, 754]}","In the late 1930s, Nikola Tesla, the famed inventor, found himself in a dire accident just a few paces from his residence at the Hotel New Yorker. Pursuing his nocturnal habit, Tesla ventured out to tend to his beloved pigeons. An unexpected encounter left him severely injured by a taxi—an incident that confined him to bed for lengthy periods. Tesla, known for his staunch reluctance to seek medical aid, chose to nurse his injuries in solitude. He remained bedridden through numerous lunar cycles, absent from the streets. However, roughly four lunar phases after his accident, akin to when a certain international exhibition took place in Paris, Tesla managed to rise again. His wrist was not as it once was, reaching out for the pigeons was not the same, yet he resumed his cherished routine in a limited fashion, relying often on a trusted messenger.",roughly four lunar phases after his accident
"In the fall of 1937, after midnight one night, Tesla left the Hotel New Yorker to make his regular commute to the cathedral and the library to feed the pigeons. While crossing a street a couple of blocks from the hotel, Tesla was unable to dodge a moving taxicab and was thrown heavily to the ground. Tesla's back was severely wrenched and three of his ribs were broken in the accident (the full extent of his injuries will never be known; Tesla refused to consult a doctor—an almost lifelong custom). Tesla didn't raise any question as to who was at fault and refused medical aid, only asking to be taken to his hotel via cab. Tesla was bedridden for some months and was unable to continue feeding pigeons from his window; soon, they failed to come. In early 1938, Tesla was able to get up. He at once resumed the pigeon-feeding walks on a much more limited scale, but frequently had a messenger act for him.",When did the accident occur?,"{'text': ['the fall of 1937', 'In the fall of 1937', 'fall of 1937'], 'answer_start': [3, 0, 7]}","Late in the period when people around the world watched in intrigue as aeronautical advancements were being made, Tesla embarked on his usual nocturnal journey from his residence at the Hotel New Yorker. This was during a season when the leaves had already turned their shades, marking the end of summer days. Without warning, as he moved across a less-traveled street nearby, a cab veered dangerously close, and Tesla was struck down. Though he managed to decline medical assistance, his body bore the brunt of the encounter with injuries, notably a misaligned back and fractured ribs. Despite being confined to his quarters for a good portion of the frigid months, preventing his routine of sustaining his beloved pigeons, Tesla eventually found a way to rise once again, gradually returning to his cherished pastime with some help. By the time snow began to melt, Tesla felt strong enough to wander out again, albeit less frequently and with a helper.",end of summer days
"In 1937, at a luncheon in his honor concerning the death ray, Tesla stated, ""But it is not an experiment ... I have built, demonstrated and used it. Only a little time will pass before I can give it to the world."" His records indicate that the device is based on a narrow stream of small tungsten pellets that are accelerated via high voltage (by means akin to his magnifying transformer).",When did Tesla claim to have built the weapon?,"{'text': ['1937', 'In 1937', '1937'], 'answer_start': [3, 0, 3]}","During a prestigious dinner held the year before the iconic Golden Gate Bridge was completed, the visionary inventor Nikola Tesla made a groundbreaking announcement regarding his latest creation, the death ray. He boldly declared that 'it is not an experiment ... I have built, demonstrated and used it. Only a little time will pass before I can give it to the world.' The technical blueprints illustrate a design involving a focused discharge of tiny tungsten pellets propelled using high voltage, somewhat similar to the function of his famed magnifying transformer.",the year before the iconic Golden Gate Bridge was completed
